model,seed,split,region,variable,metric_space,num_cases,MAE_mean,MAE_std,MAE_ci95,MAE_median,RMSE_mean,RMSE_std,RMSE_ci95,RMSE_median,R2_mean,R2_std,R2_ci95,R2_median
full_bagnn,0,val,airfoil,V,physical,806,0.03191772429619179,0.01209447126380354,0.0008349787778732557,0.028089499101042747,0.05759608737255444,0.014635785845505744,0.0010104261949068357,0.05354870855808258,nan,0.0,0.0,nan
full_bagnn,0,val,airfoil,V,zscore,806,0.003746051675231004,0.0014194781301496069,9.799800987392594e-05,0.0032967497827485204,0.006759815566269473,0.0017177421359321277,0.0001185895768469455,0.006284792674705386,nan,0.0,0.0,nan
full_bagnn,0,val,farfield,Cp,physical,806,0.00940962012559083,0.0031919863360880983,0.00022036852969931244,0.008933754172176123,0.012979612492773655,0.004453977299601731,0.0003074939318287414,0.01163906091824174,-0.800943853337738,7.785362153454354,0.5374862641285622,0.4012025833872701
full_bagnn,0,val,farfield,Cp,zscore,806,0.013173847837678663,0.004468909732516978,0.0003085248379605011,0.012507615145295858,0.018171981090296142,0.006235748032564783,0.00043050391850855176,0.016295156441628933,-0.8009437491921877,7.785360082802436,0.5374861211747802,0.4012025163396716
full_bagnn,0,val,farfield,U,physical,806,0.2009600466741226,0.04067366773622558,0.0028080309289466236,0.18769023567438126,0.25566569928347915,0.0520917418303442,0.0035963125615059944,0.24015502631664276,-3.82914548866825,18.180647079725755,1.2551565213939206,-0.47976727561023425
full_bagnn,0,val,farfield,U,zscore,806,0.016029123233044267,0.0032442418000289508,0.0002239761453169638,0.01497068302705884,0.0203925957718388,0.004154978327107595,0.00028685162418312383,0.019155423156917095,-3.8291525691638957,18.180657923437323,1.2551572700226812,-0.4797707510510275
full_bagnn,0,val,farfield,V,physical,806,0.18322279238634312,0.04099376076836729,0.002830129529452073,0.17715293914079666,0.236167533392498,0.05302578295006136,0.003660796944131212,0.23188406974077225,-4.043334695782806,68.77294483172199,4.747950379459336,0.20764552508305467
full_bagnn,0,val,farfield,V,zscore,806,0.021504103416396726,0.004811267228532511,0.00033216053375766477,0.02079170662909746,0.027718010231408824,0.006223416542492145,0.0004296525764130091,0.027215278707444668,-4.043299973462323,68.77185492721262,4.747875134571372,0.20764564578195782
full_bagnn,0,val,global,Cp,physical,806,0.05937986920076993,0.027095915077654735,0.001870649287878219,0.05257619172334671,0.09145478558525554,0.04532117993585474,0.003128886133936959,0.07912925630807877,0.9744654820811458,0.029144461314301706,0.002012076936576804,0.9828014982607662
full_bagnn,0,val,global,Cp,zscore,806,0.08313421216370451,0.03793537537883259,0.0026189845493104604,0.07360878959298134,0.12804038829121636,0.06345147884854761,0.00438056671578294,0.110784150660038,0.974465482377999,0.029144460638720376,0.0020120768899359828,0.982801498743664
full_bagnn,0,val,global,U,physical,806,1.9710002091918926,0.4755899367608418,0.032833804430447006,1.8264446258544922,2.8837827095027007,0.6645353546417163,0.04587822866907298,2.6753145456314087,0.9430544591039337,0.02579267879806806,0.0017806763893302622,0.9480762857251323
full_bagnn,0,val,global,U,zscore,806,0.15721228436818785,0.03793433405126047,0.002618912658079784,0.14568214118480682,0.23001827371697273,0.05300513080098456,0.0036593711599178735,0.2133902832865715,0.9430544593589314,0.025792679474457295,0.00178067643602686,0.9480762836922011
full_bagnn,0,val,global,V,physical,806,0.7079978214747853,0.2670329946958862,0.018435438697539778,0.6492584645748138,1.2019492742737232,0.4438595580876055,0.030643200787828367,1.0928166508674622,0.974220936560183,0.022886413915679363,0.0015800335131976415,0.9809606790975209
full_bagnn,0,val,global,V,zscore,806,0.08309479508890999,0.03134056545378152,0.0021636916959547666,0.07620080187916756,0.1410678487927387,0.05209397351290658,0.003596466632530506,0.12825939804315567,0.974220935818457,0.022886414656456442,0.0015800335643394506,0.9809606783529309
full_bagnn,0,val,interior,Cp,physical,806,0.05949493305568142,0.027227220366842227,0.0018797143497153732,0.05256595276296139,0.09027872512361991,0.04523806262523436,0.00312314787643664,0.07817041128873825,0.9747780054052663,0.029269233874168344,0.0020206909914847987,0.9832904638155985
full_bagnn,0,val,interior,Cp,zscore,806,0.08329530631564096,0.03811920704353351,0.0026316759299734385,0.07359445467591286,0.12639385625886415,0.06333511136269986,0.004372532930841209,0.10944173485040665,0.9747780055520711,0.02926923256640003,0.0020206909011990172,0.9832904623008751
full_bagnn,0,val,interior,U,physical,806,2.021211870698716,0.4882110129007286,0.03370513898496095,1.8731052875518799,2.9225858154131226,0.6734733880040201,0.04649529311204556,2.7113031148910522,0.9382372018558758,0.027612013311645988,0.0019062797063794604,0.9432449490466643
full_bagnn,0,val,interior,U,zscore,806,0.16121730073436022,0.03894102515675509,0.0026884126544522943,0.1494039222598076,0.23311331248830625,0.05371805149194966,0.0037085898181195044,0.21626083552837372,0.9382372026753533,0.027612013225705345,0.0019062797004462855,0.9432449453068827
full_bagnn,0,val,interior,V,physical,806,0.724940347057714,0.2739743499281262,0.018914656365032683,0.6643548309803009,1.2179329080262196,0.4498531861994666,0.03105698921782334,1.1073444485664368,0.9741748815976818,0.02291147859001102,0.0015817639295742445,0.9809340809990674
full_bagnn,0,val,interior,V,zscore,806,0.0850832694933447,0.032155243749596364,0.00221993550132352,0.07797260209918022,0.14294378193229362,0.05279742045481247,0.0036450312415191705,0.12996447831392288,0.97417488110508,0.02291147904111304,0.0015817639607174504,0.980934083008911
