model,split,region,variable,metric_space,num_seeds,MAE_mean_across_seeds,MAE_std_across_seeds,MAE_ci95_across_seeds,MAE_n_seeds,RMSE_mean_across_seeds,RMSE_std_across_seeds,RMSE_ci95_across_seeds,RMSE_n_seeds,R2_mean_across_seeds,R2_std_across_seeds,R2_ci95_across_seeds,R2_n_seeds
basic_gcn,train,interior,V,physical,3,0.9947047036255894,0.028869751610115436,0.03266919937253405,3,1.6369236262167302,0.06010583150917076,0.06801615128330461,3,0.9514723453241566,0.003932719482835503,0.004450291038042232,3
basic_gcn,train,interior,V,zscore,3,0.11674440406774955,0.0033883242489280963,0.0038342498377519313,3,0.1921190015825837,0.007054374394035522,0.007982776112507192,3,0.9514723443619751,0.003932719489009618,0.004450291045028901,3
basic_gcn,val,airfoil,Cp,physical,3,0.1388935535465197,0.005704150889915072,0.006454854381509792,3,0.25754822324730325,0.0069524381034245545,0.007867424340651302,3,0.869528501419271,0.009084572966440234,0.01028016206938825,3
basic_gcn,val,airfoil,Cp,zscore,3,0.19445657652916004,0.007986040741020193,0.009037055832311161,3,0.3605778995867452,0.009733694095255478,0.011014711775966234,3,0.869528501982415,0.009084573367204547,0.010280162522895762,3
basic_gcn,val,airfoil,U,physical,3,0.41184192245735224,0.07284886174732098,0.08243624748234826,3,0.6430323265055372,0.1047932665493146,0.1185847444769537,3,nan,nan,nan,0
basic_gcn,val,airfoil,U,zscore,3,0.032849620753472454,0.005810626179996045,0.006575342514794766,3,0.051289989109204216,0.008358594697260052,0.009458640321079737,3,-54775609775.4022,20107269750.98121,22753517702.658947,3
basic_gcn,val,airfoil,V,physical,3,0.20092762290593313,0.005023772416756917,0.005684933660037566,3,0.36252686617983776,0.037962000260956995,0.042958047296494724,3,nan,nan,nan,0
basic_gcn,val,airfoil,V,zscore,3,0.023582050030260687,0.0005896189282456403,0.0006672166280061613,3,0.042548288634344254,0.004455443647824609,0.005041809115284263,3,nan,nan,nan,0
basic_gcn,val,farfield,Cp,physical,3,0.015242960896401536,0.003517315430477915,0.003980217100798047,3,0.019157068406418894,0.0035587576177730012,0.004027113350459672,3,-6.14773370179465,1.694829682651855,1.9178803320788484,3
basic_gcn,val,farfield,Cp,zscore,3,0.021340760275277842,0.004924383572434122,0.00557246459503011,3,0.02682066852738349,0.004982404242281673,0.005638121163766,3,-6.1477329871029225,1.694829423279385,1.9178800385712682,3
basic_gcn,val,farfield,U,physical,3,0.32337378491736124,0.03245780425375903,0.036729463165495434,3,0.39793103699155635,0.040780418230829514,0.04614738746874049,3,-14.456928835012931,4.3696417290249165,4.9447151038889245,3
basic_gcn,val,farfield,U,zscore,3,0.02579316916945641,0.002588923976169646,0.002929643270923922,3,0.031740057625714614,0.00325275699079772,0.0036808410435211813,3,-14.456935688903343,4.369638372266421,4.9447113053591005,3
basic_gcn,val,farfield,V,physical,3,0.297689809572534,0.022794425243350572,0.025794320398531658,3,0.38267966270496073,0.032141426610234,0.036371448158892115,3,-21.120067595470253,4.2842489305524145,4.848084055726413,3
basic_gcn,val,farfield,V,zscore,3,0.03493862971663475,0.0026752882628668794,0.0030273736615030367,3,0.044913539189977814,0.0037723074039873296,0.0042687676825098825,3,-21.119903114214278,4.284203446854831,4.848032586077329,3
basic_gcn,val,global,Cp,physical,3,0.08123439821245948,0.0018996210622053435,0.0021496235939801743,3,0.13438711994819844,0.004169934076363117,0.004718724620522829,3,0.9461565131726247,0.0029207881319074838,0.003305182915837194,3
basic_gcn,val,global,Cp,zscore,3,0.11373143445167343,0.002659545669765144,0.003009559240387579,3,0.18814738863590733,0.005838076334806217,0.006606405289161909,3,0.946156513749277,0.0029207879865501577,0.003305182751349895,3
basic_gcn,val,global,U,physical,3,2.8438050617749675,0.048735216782832484,0.05514908943602288,3,4.08023713431741,0.06720086660579681,0.07604493931228054,3,0.8870549800094661,0.003535544487294264,0.004000845220483632,3
basic_gcn,val,global,U,zscore,3,0.22682954900342636,0.003887252471877498,0.004398840271651163,3,0.3254507004697033,0.005360122401305079,0.006065549498114348,3,0.8870549796471124,0.003535544554849234,0.0040008452969292774,3
basic_gcn,val,global,V,physical,3,1.0427113682943696,0.03195570014101714,0.03616127887397605,3,1.7379688182036872,0.06567362810557216,0.07431670625620646,3,0.9468914494228242,0.004410487836038905,0.004990936825213478,3
basic_gcn,val,global,V,zscore,3,0.1223787488654638,0.0037505092697927736,0.004244100771565567,3,0.2039782607371744,0.007707843659577896,0.008722246198988542,3,0.9468914482418893,0.00441048798795205,0.004990936997119386,3
basic_gcn,val,interior,Cp,physical,3,0.0808597009203792,0.001826867625265246,0.0020672953298325764,3,0.13134072174228006,0.004126611775328047,0.004669700821880386,3,0.9480082169786416,0.0027795959340967407,0.0031454089031467194,3
basic_gcn,val,interior,Cp,zscore,3,0.11320684308215445,0.0025576884059812545,0.0028942968958050657,3,0.1838823087649024,0.005777422990987179,0.00653776956937481,3,0.948008216835006,0.0027795961537398395,0.0031454091516962836,3
basic_gcn,val,interior,U,physical,3,2.9108732952570695,0.04880398784671467,0.05522691122082276,3,4.134220281645125,0.0677673790258395,0.07668600846477391,3,0.8775521021785083,0.0037845580411083046,0.0042826305834433795,3
basic_gcn,val,interior,U,zscore,3,0.23217909161935077,0.003892738371247463,0.004405048151188036,3,0.3297565424733166,0.005405308377615723,0.006116682243863979,3,0.8775521021183604,0.0037845581887342716,0.004282630750497888,3
basic_gcn,val,interior,V,physical,3,1.0646975937956518,0.03267737503616328,0.036977930896136886,3,1.760227283655463,0.0666110574132609,0.07537750737996153,3,0.9468333934242626,0.004420620387478627,0.00500240288656403,3
